cgpa,aptitudescore,communicationscore,projects,internships,certifications,technicalskillscore,package,group
7.3,49,65,10,0,1,92,11,9 - 12 LPA
7.46,43,98,8,1,0,45,9,6 - 9 LPA
6.28,45,75,6,0,1,100,8,6 - 9 LPA
8.51,100,43,9,4,6,43,15,12 - 15 LPA
6.19,94,48,4,3,2,74,9,6 - 9 LPA
7.23,92,83,2,0,3,63,8,6 - 9 LPA
8.85,76,43,9,1,7,83,14,12 - 15 LPA
9.11,69,77,7,2,4,55,14,12 - 15 LPA
8.8,55,45,9,2,8,71,14,12 - 15 LPA
8.92,58,78,1,0,8,66,11,9 - 12 LPA
7.37,99,71,6,0,1,88,11,9 - 12 LPA
9.16,92,60,5,5,5,78,16,
9.19,44,93,1,2,7,84,13,12 - 15 LPA
6.24,84,59,10,4,7,58,12,9 - 12 LPA
9.55,62,41,7,2,2,79,13,12 - 15 LPA
6.24,89,58,2,5,3,65,10,9 - 12 LPA
9.49,45,50,7,3,8,57,15,12 - 15 LPA
9.28,95,75,4,5,6,62,16,
7.52,54,49,1,1,2,54,8,6 - 9 LPA
6.05,93,77,2,2,4,40,7,6 - 9 LPA
8.14,79,76,5,1,8,100,14,12 - 15 LPA
8.7,43,69,10,4,6,65,14,12 - 15 LPA
6.41,80,65,0,1,1,53,6,3 - 6 LPA
6.44,78,43,1,0,2,74,6,3 - 6 LPA
7.45,41,44,3,4,6,49,10,9 - 12 LPA
9.82,78,63,7,0,1,94,14,12 - 15 LPA
9.91,70,70,4,0,2,46,12,9 - 12 LPA
8.96,70,93,2,4,0,53,13,12 - 15 LPA
8.11,49,84,8,0,8,59,13,12 - 15 LPA
9.45,84,94,4,4,5,98,16,
9.09,74,74,8,2,3,79,15,12 - 15 LPA
9.94,94,52,3,3,3,52,14,12 - 15 LPA
7.42,41,41,4,3,4,52,9,6 - 9 LPA
9.83,68,91,5,2,1,54,13,12 - 15 LPA
7.88,61,53,7,4,0,70,12,9 - 12 LPA
7.38,81,45,10,0,6,90,12,9 - 12 LPA
6.8,96,51,6,5,5,45,12,9 - 12 LPA
9.89,65,69,6,5,1,86,15,12 - 15 LPA
9.97,41,49,9,3,2,79,15,12 - 15 LPA
9.92,82,99,5,1,8,75,15,12 - 15 LPA
6.06,86,81,1,4,2,67,10,9 - 12 LPA
6.78,95,53,0,2,3,58,8,6 - 9 LPA
9.05,60,56,8,3,2,43,13,12 - 15 LPA
7.42,69,82,9,4,6,92,15,12 - 15 LPA
8.01,74,49,8,4,0,95,13,12 - 15 LPA
6.73,40,89,2,1,2,70,8,6 - 9 LPA
6.48,43,60,10,4,8,75,12,9 - 12 LPA
9.11,96,75,0,1,3,57,11,9 - 12 LPA
6.39,68,75,0,0,7,60,8,6 - 9 LPA
8.02,72,52,4,3,8,74,13,12 - 15 LPA
8.03,55,84,8,2,8,97,15,12 - 15 LPA
9.36,48,66,1,3,7,60,12,9 - 12 LPA
6.96,44,53,10,2,1,97,11,9 - 12 LPA
9.76,81,82,5,1,4,96,15,12 - 15 LPA
7.87,87,100,1,3,7,50,13,12 - 15 LPA
9.33,50,85,6,4,6,61,14,12 - 15 LPA
7.43,45,86,5,0,5,75,10,9 - 12 LPA
8.81,64,61,8,4,4,72,15,12 - 15 LPA
6.45,98,90,3,0,1,56,8,6 - 9 LPA
9.62,51,57,2,3,4,65,12,9 - 12 LPA
9.68,76,71,5,0,4,43,13,12 - 15 LPA
6.73,97,44,4,0,1,91,9,6 - 9 LPA
8.43,54,44,4,0,7,40,9,6 - 9 LPA
8.21,99,98,4,4,2,42,13,12 - 15 LPA
6.95,47,50,4,0,2,52,8,6 - 9 LPA
8.51,73,88,3,2,7,72,13,12 - 15 LPA
7.08,91,41,4,0,0,41,8,6 - 9 LPA
8.2,52,72,7,1,7,46,11,9 - 12 LPA
8.6,82,71,8,3,8,59,15,12 - 15 LPA
9.93,61,52,10,1,6,62,16,
9.35,40,44,10,5,4,67,14,12 - 15 LPA
6.34,93,64,8,5,4,78,12,9 - 12 LPA
7.17,69,51,2,2,7,40,8,6 - 9 LPA
9.85,75,60,3,0,4,53,12,9 - 12 LPA
6.0,64,45,7,2,8,81,9,6 - 9 LPA
8.02,40,45,4,0,2,65,9,6 - 9 LPA
7.58,59,59,10,1,1,77,12,9 - 12 LPA
9.41,49,82,9,3,5,86,17,
6.6,86,79,10,1,0,92,12,9 - 12 LPA
